organisationID,shortName,ISTAT_code,NUTS3,region_code,region,lon,lat
990670022,DIADGROUP,001272,ITC11,1,Piemonte,45.0796722,7.6526394
896774313,NA,001272,ITC11,1,Piemonte,45.069984,7.6729567
961804471,FIAT POWERTRAINTECHNOLOGIES INDUSTRIAL,001272,ITC11,1,Piemonte,45.0677551,7.6824892
952593933,C.S.I. MESAP,001272,ITC11,1,Piemonte,45.0622981,7.6665968
999533785,IPM,001272,ITC11,1,Piemonte,45.0737646,7.665484
944636829,AIZOON CONSULTING SRL,001272,ITC11,1,Piemonte,45.0757301,7.6293539
961302302,SAFAN,001272,ITC11,1,Piemonte,45.0500956,7.6273181
919328171,MOVE,001272,ITC11,1,Piemonte,45.0653858,7.67286792506504
927715761,ASSOCIAZIONE URBAN LAB,001272,ITC11,1,Piemonte,45.0729669,7.681491265495904
999529808,FIERI,001272,ITC11,1,Piemonte,45.0570104,7.6771653
904104506,ISGS,001272,ITC11,1,Piemonte,45.0682992,7.6823344
967872403,KGR,001272,ITC11,1,Piemonte,45.0776373,7.6665108
969442445,IVECO,001272,ITC11,1,Piemonte,45.1066869,7.7230904
951718120,nLIGHT,001272,ITC11,1,Piemonte,45.1130411,7.6723831
916129596,More,001272,ITC11,1,Piemonte,45.0651143,7.6577154
990608039,Bitron,001272,ITC11,1,Piemonte,45.0792156,7.6706139
952381018,TECNOSITAF,001272,ITC11,1,Piemonte,45.0709201,7.685972
956578305,Laserlam,001272,ITC11,1,Piemonte,45.0738485,7.6726125
951542259,A.O.U,001272,ITC11,1,Piemonte,45.0425494,7.6710723
950102876,NA,001272,ITC11,1,Piemonte,45.0752591,7.6442356
894568048,FABRIQUE - AVVOCATI ASSOCIATI,001272,ITC11,1,Piemonte,45.0685442,7.6676266
997205882,EST,001272,ITC11,1,Piemonte,45.0649741,7.6558131
997800783,UNICRI,001272,ITC11,1,Piemonte,45.0209685,7.671273
925263504,ARGO SRL,001272,ITC11,1,Piemonte,45.2732783,7.4768695
925299200,ENERBRAIN,001272,ITC11,1,Piemonte,45.0742459,7.6769473
972396483,Lithops S.r.l.,001272,ITC11,1,Piemonte,45.0466577,7.5806278
904932110,NA,001272,ITC11,1,Piemonte,45.069717,7.6675689
925864613,RESEARCH CENTRE ON SECURITY AND CRIME,001272,ITC11,1,Piemonte,45.5205295,11.6091783
916573856,FONDAZIONE LINKS,001272,ITC11,1,Piemonte,45.0633969,7.6555693
951413831,K46,001272,ITC11,1,Piemonte,45.0709201,7.685972
951377553,SECURITY REPLY,001272,ITC11,1,Piemonte,45.0756645,7.6507015
968480011,FONDAZIONE FITZCARRALDO,001272,ITC11,1,Piemonte,45.0812278,7.6890886
998947711,CSI PIEMONTE,001272,ITC11,1,Piemonte,45.041344,7.656082
958442451,E4SMA,001272,ITC11,1,Piemonte,43.543694,10.3290855
901447579,Tincar,001272,ITC11,1,Piemonte,45.0661328,7.6453439
965164260,Top-ix,001272,ITC11,1,Piemonte,45.065207,7.6917515
999476943,regione piemonte,001272,ITC11,1,Piemonte,45.2361779,7.6058679
970764458,TOWL,001272,ITC11,1,Piemonte,45.0689597,7.6830865
918645291,InSensusProject,001272,ITC11,1,Piemonte,45.068578,7.6688882
972738408,NA,001272,ITC11,1,Piemonte,45.0173653,7.6173888
915480472,CECOMP,001272,ITC11,1,Piemonte,45.0677551,7.6824892
948286260,CARETEK SRL,001272,ITC11,1,Piemonte,45.0288822,7.654261
892121611,NA,001272,ITC11,1,Piemonte,45.0685789,7.6628248
986205791,OT BIOELETTRONICA,001272,ITC11,1,Piemonte,45.0697967,7.6357042
950526184,IISBE ITALIA R&D,001272,ITC11,1,Piemonte,45.08820725,7.67073590672741
952340084,TOED,001272,ITC11,1,Piemonte,45.0796722,7.6526394
893539169,NA,001272,ITC11,1,Piemonte,45.0917933,7.682318
920866785,MEDICAL COLLABORATION COMMITTEE CCM,001272,ITC11,1,Piemonte,45.0821789,7.6810917
996607974,I3P,001272,ITC11,1,Piemonte,45.0630581,7.6586342
924606038,I-SEE,001272,ITC11,1,Piemonte,45.049322600000004,7.6792518
997712707,ITHACA,001272,ITC11,1,Piemonte,45.0633969,7.6555693
951550213,MTS,001272,ITC11,1,Piemonte,45.0728172,7.6560202
997740643,FIAT GROUP AUTOMOBILES SPA FIAT AUTO SPA,001272,ITC11,1,Piemonte,45.0270428,7.6370675
951870313,PRIMAVIS,001272,ITC11,1,Piemonte,45.0691247,7.6725138
998398788,"NAV",001272,ITC11,1,Piemonte,43.543694,10.3290855
948753509,NA,001272,ITC11,1,Piemonte,45.0138821,7.6589589
916766886,OLCI,001272,ITC11,1,Piemonte,45.0671271,7.6657141
996425614,GTT,001272,ITC11,1,Piemonte,45.0525786,7.6699904
934728473,ILLOGIC,001272,ITC11,1,Piemonte,45.0650396,7.6634528
930664270,C.F.M.AIR SRL,001272,ITC11,1,Piemonte,45.0613346,7.6693054
932761313,DIGIGROUP INFORMATICA SRL,001272,ITC11,1,Piemonte,45.1072661,7.6848271
998823648,Modelway S.R.L.,001272,ITC11,1,Piemonte,43.543694,10.3290855
900417148,Lexis,001272,ITC11,1,Piemonte,45.0629529,7.6824119
999456282,CSP,001272,ITC11,1,Piemonte,45.0748802,7.6289231
904094127,PLANET IDEA,001272,ITC11,1,Piemonte,45.0688312,7.5210218
903999746,NA,001272,ITC11,1,Piemonte,45.0619444,7.6555742
934595292,TRE TAU ENGINEERING SRL,001272,ITC11,1,Piemonte,45.0469134,7.6455409
973702491,BSim Engineering,001272,ITC11,1,Piemonte,45.068765,7.6727535
953619223,SKYLOGIC,001272,ITC11,1,Piemonte,45.0634667,7.6809755
949750669,NIDIA,001272,ITC11,1,Piemonte,45.0647523,7.6749662
888892676,NA,001272,ITC11,1,Piemonte,45.0417485,7.650016548779331
999861936,UNITO,001272,ITC11,1,Piemonte,45.0696399,7.6890729
888892711,NA,001272,ITC11,1,Piemonte,45.0417485,7.650016548779331
986331600,ITALIAN INSTITUTE FOR GENOMIC MEDICINE,001272,ITC11,1,Piemonte,45.024984,7.67181627667902
940838018,TECNART,001272,ITC11,1,Piemonte,44.4912165,10.9934288
999977754,POLITO,001272,ITC11,1,Piemonte,45.0626528,7.6618159
951274151,NoReal,001272,ITC11,1,Piemonte,45.0479508,7.6738601
912751571,LEAP FACTORY,001272,ITC11,1,Piemonte,45.0677551,7.6824892
987548077,PUNCH Torino,001272,ITC11,1,Piemonte,45.063621,7.659047
911790107,CNH,001272,ITC11,1,Piemonte,45.0214301,7.6129735
984934315,Spin-To,001272,ITC11,1,Piemonte,45.0914743,7.6828091
920980663,NTA,001272,ITC11,1,Piemonte,45.0572573,7.6693229
996207946,CONSOFT SISTEMI SPA,001272,ITC11,1,Piemonte,45.0207137,7.65024915244249
996356065,5T,001272,ITC11,1,Piemonte,45.0677551,7.6824892
948908806,MUSEO NAZIONALE DE CINEMA,001272,ITC11,1,Piemonte,45.0691054,7.6929699
994314021,ATC Torino,001272,ITC11,1,Piemonte,45.0677551,7.6824892
938625545,STRIGOLAB,001272,ITC11,1,Piemonte,45.051487,7.6809388
919603554,REA,001272,ITC11,1,Piemonte,45.08682205,7.6670062441908
938240358,PHIDRIVE,001272,ITC11,1,Piemonte,45.0651143,7.6577154
996478867,EICAS,001272,ITC11,1,Piemonte,45.0652942,7.6666158
924162166,YAMGU,001272,ITC11,1,Piemonte,45.0417485,7.650016548779331
922977311,GLOBUS,001272,ITC11,1,Piemonte,45.0662659,7.6819196
933681358,FCA ITEM,001272,ITC11,1,Piemonte,45.0221822,7.6110328
897050375,NA,001272,ITC11,1,Piemonte,45.0683888,7.676173
998081016,HYSYTECH,001272,ITC11,1,Piemonte,45.015156,7.6166651
929003727,RISORSE IDRICHE S.P.A.,001272,ITC11,1,Piemonte,45.0789617,7.6884797
957310267,IRE,001272,ITC11,1,Piemonte,45.0869358,7.6563411
930636431,WATERVIEW,001272,ITC11,1,Piemonte,45.0651143,7.6577154
927701987,Pubcoder,001272,ITC11,1,Piemonte,45.0677551,7.6824892
998627805,INRIM,001272,ITC11,1,Piemonte,45.01439315,7.63852165891241
998649921,Optimad srl,001272,ITC11,1,Piemonte,45.1072635,7.656456508949704
998703756,AVS,001272,ITC11,1,Piemonte,45.0706726,7.678263
931609147,TYVAK,001272,ITC11,1,Piemonte,45.0651143,7.6577154
998484633,ENVIRONMENT PARK SPA,001272,ITC11,1,Piemonte,45.0689597,7.6830865
902273922,ADDAX,001272,ITC11,1,Piemonte,45.0417485,7.650016548779331
912359400,NA,001272,ITC11,1,Piemonte,45.042608,7.6248013
943454302,IMAGEO SRL,001272,ITC11,1,Piemonte,45.0525434,7.6817193
988224070,SKF ITALIA,001272,ITC11,1,Piemonte,45.0300652,7.3379556
983348462,METEC,001272,ITC11,1,Piemonte,45.0513329,7.6631265
916660574,INSER,001272,ITC11,1,Piemonte,45.0677551,7.6824892
888890867,NA,001272,ITC11,1,Piemonte,45.0417485,7.650016548779331
907972672,DRIVESEC,001272,ITC11,1,Piemonte,45.0644925,7.6741257
999927508,CENTROSCIENZA ONLUS ASSOCIAZIONE,001272,ITC11,1,Piemonte,45.0687806,7.6848323
984058308,CMTORINO,001272,ITC11,1,Piemonte,45.1385899,7.0489231
888894718,NA,001272,ITC11,1,Piemonte,45.0417485,7.650016548779331
940292296,IADA SRL,001272,ITC11,1,Piemonte,45.0783175,7.6917566
986834060,SEA MARCONI,001272,ITC11,1,Piemonte,45.0773367,7.6644952
942348793,A.T.I. SPA,001272,ITC11,1,Piemonte,45.4399417,7.7701928
895876093,NA,001272,ITC11,1,Piemonte,45.0417485,7.650016548779331
941391500,NA,001272,ITC11,1,Piemonte,45.0352647,7.6706591
915785440,CRAST,001272,ITC11,1,Piemonte,45.0769539,7.6690663
945614395,ENGINLIFE,001272,ITC11,1,Piemonte,45.0662661,7.6481051
923188771,Prima Additive s.r.l.,001272,ITC11,1,Piemonte,45.0501038,7.6619996
913606820,FONDAZIONE DELLA COMUNITA DI MIRAFIORI,001272,ITC11,1,Piemonte,45.0417485,7.650016548779331
996258095,DMA s.r.l,001272,ITC11,1,Piemonte,45.1423247,7.5400887
991766025,ISTITUTO FINANZIARIO REGIONALE PIEMONTESE,001272,ITC11,1,Piemonte,45.0689,7.683076
985336283,Regola srl,001272,ITC11,1,Piemonte,45.0531846,7.6695054
900055144,OBJECTIVE,001272,ITC11,1,Piemonte,45.0177062,7.6488402
900209471,FTM,001272,ITC11,1,Piemonte,45.0651744,7.6691805
928787514,Move Plus Srl,001272,ITC11,1,Piemonte,45.005287,7.5274656
911697957,I-TES,001272,ITC11,1,Piemonte,45.0733097,7.6740221
932784787,CRA,001272,ITC11,1,Piemonte,45.0623633,7.7076332
900692822,GAE,001272,ITC11,1,Piemonte,45.0560511,7.6797097
911474663,ERMES CYBER SECURITY SRL,001272,ITC11,1,Piemonte,45.065199,7.6569163
937178887,IM3D SPA,001272,ITC11,1,Piemonte,45.0682245,7.6760564
998322158,EURIX,001272,ITC11,1,Piemonte,45.0620296,7.67844134094572
952984358,IRIS,001272,ITC11,1,Piemonte,45.041344,7.656082
955672422,ASJA.ENERGY,001272,ITC11,1,Piemonte,45.0679985,7.6663497
897840440,CIM4.0,001272,ITC11,1,Piemonte,45.0308896,7.6150779
998476485,CREATIVA S,001272,ITC11,1,Piemonte,45.0456264,7.6723872
999913540,CCIAA TO,001272,ITC11,1,Piemonte,45.0619041,7.6816368
999924210,SWARCO MIZAR SPA,001272,ITC11,1,Piemonte,45.0345377,7.6666955
998540020,WISILDENT SRL,001272,ITC11,1,Piemonte,45.1214397,7.6549313
911382707,NA,001272,ITC11,1,Piemonte,45.3805432,7.8808442
