from,to,weight
7,5,3.2268473701193933e-4
7,6,3.2268473701193933e-4
7,7,0.013875443691513391
7,8,0.0012907389480477573
7,9,3.2268473701193933e-4
7,10,0.0025814778960955146
7,11,6.453694740238787e-4
7,12,0.0016134236850596966
7,13,3.2268473701193933e-4
7,14,3.2268473701193933e-4
7,15,0
7,16,9.68054211035818e-4
7,17,9.68054211035818e-4
8,0,0.004194901581155212
8,1,3.2268473701193933e-4
8,2,0.001936108422071636
8,3,0.002258793159083575
8,4,0.0016134236850596966
8,5,3.2268473701193933e-4
8,6,0.003226847370119393
8,7,0.001936108422071636
8,8,0.026460148434979024
8,9,3.2268473701193933e-4
8,10,0.0016134236850596966
8,11,6.453694740238787e-4
8,12,0.002258793159083575
8,13,0
8,14,0
8,15,0
8,16,9.68054211035818e-4
8,17,3.2268473701193933e-4
9,0,3.2268473701193933e-4
9,1,0
9,2,0.0012907389480477573
9,3,6.453694740238787e-4
9,4,0.0012907389480477573
9,5,0
9,6,6.453694740238787e-4
9,7,6.453694740238787e-4
9,8,3.2268473701193933e-4
9,9,0.016779606324620847
9,10,6.453694740238787e-4
9,11,3.2268473701193933e-4
9,12,0.0035495321071313327
9,13,0
9,14,6.453694740238787e-4
9,15,6.453694740238787e-4
9,16,0
9,17,3.2268473701193933e-4
10,0,0.006131010003226848
10,1,9.68054211035818e-4
10,2,0.008389803162310423
10,3,0.006131010003226848
10,4,0.00451758631816715
10,5,3.2268473701193933e-4
10,6,0.0025814778960955146
10,7,0.00451758631816715
10,8,0.003872216844143272
10,9,0.0012907389480477573
10,10,0.049370764762826716
10,11,9.68054211035818e-4
10,12,0.006453694740238786
10,13,3.2268473701193933e-4
10,14,6.453694740238787e-4
10,15,3.2268473701193933e-4
10,16,0.0016134236850596966
10,17,3.2268473701193933e-4
11,0,0.002258793159083575
11,1,3.2268473701193933e-4
11,2,3.2268473701193933e-4
11,3,0.0012907389480477573
11,4,6.453694740238787e-4
11,5,0
11,6,0.0012907389480477573
11,7,3.2268473701193933e-4
11,8,3.2268473701193933e-4
11,9,0
11,10,6.453694740238787e-4
11,11,0.013552758954501452
11,12,3.2268473701193933e-4
11,13,3.2268473701193933e-4
11,14,3.2268473701193933e-4
11,15,0
11,16,0
11,17,6.453694740238787e-4
12,0,0.00451758631816715
12,1,6.453694740238787e-4
12,2,0.007744433688286544
12,3,0.007421748951274605
12,4,0.003226847370119393
12,5,6.453694740238787e-4
12,6,0.003226847370119393
12,7,0.001936108422071636
12,8,0.003226847370119393
12,9,0.002258793159083575
12,10,0.004194901581155212
12,11,9.68054211035818e-4
12,12,0.05485640529202969
12,13,9.68054211035818e-4
12,14,6.453694740238787e-4
12,15,0.001936108422071636
12,16,6.453694740238787e-4
12,17,6.453694740238787e-4
13,0,9.68054211035818e-4
13,1,3.2268473701193933e-4
13,2,0.001936108422071636
13,3,0
13,4,0.001936108422071636
13,5,0
13,6,0.0012907389480477573
13,7,3.2268473701193933e-4
13,8,3.2268473701193933e-4
13,9,3.2268473701193933e-4
13,10,6.453694740238787e-4
13,11,3.2268473701193933e-4
13,12,0
13,13,0.007421748951274605
13,14,0
13,15,0
13,16,0
13,17,0
14,0,0.001936108422071636
14,1,3.2268473701193933e-4
14,2,0.0012907389480477573
14,3,6.453694740238787e-4
14,4,9.68054211035818e-4
14,5,0
14,6,6.453694740238787e-4
14,7,6.453694740238787e-4
14,8,6.453694740238787e-4
14,9,0
14,10,6.453694740238787e-4
14,11,9.68054211035818e-4
14,12,3.2268473701193933e-4
14,13,0
14,14,0.006453694740238786
14,15,3.2268473701193933e-4
14,16,3.2268473701193933e-4
14,17,0
15,0,0.0012907389480477573
15,1,0
15,2,0.0012907389480477573
15,3,9.68054211035818e-4
15,4,3.2268473701193933e-4
15,5,0
15,6,6.453694740238787e-4
15,7,0
15,8,0
15,9,0
15,10,6.453694740238787e-4
15,11,0
15,12,3.2268473701193933e-4
15,13,0
15,14,0
15,15,0.00968054211035818
15,16,0
15,17,0
16,0,0
16,1,0
16,2,0
16,3,6.453694740238787e-4
16,4,6.453694740238787e-4
16,5,0
16,6,3.2268473701193933e-4
16,7,3.2268473701193933e-4
16,8,0
16,9,0
16,10,9.68054211035818e-4
16,11,0
16,12,0
16,13,0
16,14,0
16,15,0
16,16,0.006131010003226848
16,17,0
17,0,0
17,1,0
17,2,0
17,3,3.2268473701193933e-4
17,4,3.2268473701193933e-4
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
17,10,3.2268473701193933e-4
17,11,0
17,12,0
17,13,0
17,14,0
17,15,0
17,16,0
17,17,0.006776379477250726
