from,to,weight,LOC,NACE_group,PG
112,587,3.463381245722108,Coast,MAN,MAN
91,748,5,PORDENONE,MAN,ENG
113,749,0.4188911704312115,MONFALCONE,MAN,ENG
114,319,1.1772758384668036,Mountain,MAN,MAN
115,319,2.0752908966461328,Mountain,MAN,MAN
116,319,0.14510609171800137,Mountain,MAN,MAN
117,235,0.05475701574264202,PORDENONE,MAN,ENG
18,235,1.6919917864476386,PORDENONE,MAN,ENG
118,235,1.828884325804244,PORDENONE,MAN,ENG
27,43,5,UDINE,MAN,MAN
119,750,0.8295687885010267,MONFALCONE,MAN,ENG
120,525,4.05201916495551,GORIZIA,MAN,ENG
7,115,0.49007529089664614,UDINE,MAN,ENG
58,124,2.5598904859685145,Mountain,MAN,ENG
121,115,0.813141683778234,UDINE,MAN,ENG
122,115,3.2334017796030117,UDINE,MAN,ENG
94,115,2.2559890485968515,UDINE,MAN,ENG
123,124,1.3333333333333333,Mountain,MAN,PCM
124,751,1.9794661190965093,Mountain,MAN,ENG
27,115,0.4928131416837782,UDINE,MAN,MAN
125,124,3.67419575633128,Mountain,MAN,ENG
126,115,1.949349760438056,UDINE,MAN,MAN
127,752,1.336071184120465,UDINE,MAN,MAN
128,753,0.243668720054757,PORDENONE,MAN,MAN
129,753,0.5010266940451745,PORDENONE,MAN,ENG
130,754,0.16427104722792607,TRIESTE,MAN,ENG
131,73,3.6358658453114305,TRIESTE,MAN,ENG
5,73,1.3305954825462012,TRIESTE,MAN,ENG
132,148,1.828884325804244,UDINE,MAN,ENG
133,148,4.32580424366872,UDINE,MAN,UNI
134,73,0.9965776865160848,TRIESTE,MAN,ENG
5,135,0.9965776865160848,TRIESTE,MAN,ENG
135,73,4.093086926762491,TRIESTE,MAN,ENG
8,73,0.33127994524298426,TRIESTE,MAN,ENG
134,73,4.306639288158795,TRIESTE,MAN,ENG
7,135,0.9883641341546886,TRIESTE,MAN,ENG
136,148,1.9685147159479808,UDINE,MAN,ENG
24,135,5,TRIESTE,MAN,ENG
22,148,0.49555099247091033,UDINE,MAN,ENG
137,135,2.844626967830253,TRIESTE,MAN,ENG
138,148,1.672826830937714,UDINE,MAN,UNI
40,73,3.345653661875428,TRIESTE,MAN,ENG
139,135,1.8069815195071868,TRIESTE,MAN,MAN
18,73,2.3436002737850785,TRIESTE,MAN,ENG
140,148,0.9965776865160848,UDINE,MAN,UNI
141,135,4.076659822039699,TRIESTE,MAN,ENG
142,755,1.1225188227241616,Coast,MAN,ENG
68,756,0.3750855578370979,TRIESTE,MAN,PCM
18,757,2.598220396988364,UDINE,MAN,ENG
123,339,4.172484599589322,UDINE,MAN,PCM
96,108,0.9965776865160848,TRIESTE,MAN,ENG
5,429,1.2922655715263518,UDINE,MAN,UNI
143,429,1.3935660506502396,UDINE,MAN,ENG
134,429,0.5010266940451745,UDINE,MAN,FAR
144,429,0.49828884325804246,UDINE,MAN,MAN
145,758,2.4476386036960984,TRIESTE,MAN,UNI
91,94,1.9876796714579057,MONFALCONE,MAN,ENG
94,759,3.540041067761807,UDINE,MAN,MAN
146,214,0.9965776865160848,PORDENONE,MAN,ENG
134,565,2.9952087611225187,GORIZIA,MAN,ENG
147,565,0.3066392881587953,GORIZIA,MAN,ENG
41,566,1.757700205338809,Mountain,MAN,ENG
148,566,2.7433264887063653,Mountain,MAN,MAN
149,89,3.3292265571526354,PORDENONE,MAN,MAN
49,89,1.8726899383983573,PORDENONE,MAN,ENG
74,89,2.595482546201232,PORDENONE,MAN,MAN
150,58,0.4188911704312115,PORDENONE,MAN,ENG
151,58,0.4928131416837782,PORDENONE,MAN,ENG
152,58,1.426420260095825,PORDENONE,MAN,ENG
49,58,1.897330595482546,PORDENONE,MAN,ENG
153,58,0.999315537303217,PORDENONE,MAN,ENG
18,58,1.596167008898015,PORDENONE,MAN,ENG
154,58,0.6872005475701575,PORDENONE,MAN,ENG
18,58,2.754277891854894,PORDENONE,MAN,ENG
18,58,1.056810403832991,PORDENONE,MAN,ENG
123,58,1.1827515400410678,PORDENONE,MAN,ENG
155,58,1.3880903490759753,PORDENONE,MAN,ENG
156,58,3.6358658453114305,PORDENONE,MAN,ENG
157,58,1.626283367556468,PORDENONE,MAN,ENG
49,58,1.2210814510609171,PORDENONE,MAN,ENG
158,58,0.36960985626283366,PORDENONE,MAN,ENG
159,58,0.4271047227926078,PORDENONE,MAN,ENG
49,58,0.49828884325804246,PORDENONE,MAN,ENG
160,58,0.09582477754962354,PORDENONE,MAN,ENG
8,58,1.4510609171800135,PORDENONE,MAN,ENG
141,58,1.9685147159479808,PORDENONE,MAN,ENG
18,58,1.426420260095825,PORDENONE,MAN,ENG
22,58,3.2881587953456535,PORDENONE,MAN,ENG
18,58,0.4544832306639288,PORDENONE,MAN,ENG
27,58,0.9883641341546886,PORDENONE,MAN,ENG
161,58,0.7091033538672142,PORDENONE,MAN,ENG
134,58,1.336071184120465,PORDENONE,MAN,ENG
162,58,0.49007529089664614,PORDENONE,MAN,ENG
163,58,1.2566735112936345,PORDENONE,MAN,ENG
164,58,3.1786447638603694,PORDENONE,MAN,ENG
165,58,2.0643394934976045,PORDENONE,MAN,ENG
18,58,3.425051334702258,PORDENONE,MAN,ENG
27,58,2.0424366872005475,PORDENONE,MAN,ENG
166,58,0.48186173853524983,PORDENONE,MAN,ENG
167,760,0.5968514715947981,PORDENONE,MAN,ENG
168,754,4.5338809034907595,TRIESTE,MAN,MAN
126,754,0.24093086926762491,TRIESTE,MAN,MAN
169,754,0.813141683778234,TRIESTE,MAN,MAN
170,157,5,PORDENONE,MAN,MAN
171,761,0.49828884325804246,MONFALCONE,MAN,ENG
172,754,3.0965092402464065,TRIESTE,MAN,ENG
173,762,0.33401779603011633,PORDENONE,MAN,MAN
124,157,1.779603011635866,PORDENONE,MAN,ENG
174,232,0.4928131416837782,UDINE,MAN,ARC
175,594,0.9774127310061602,MONFALCONE,MAN,ENG
176,218,0.3258042436687201,TRIESTE,MAN,PCM
58,218,0.7392197125256673,TRIESTE,MAN,PCM
27,218,0.188911704312115,TRIESTE,MAN,PCM
27,218,1.3333333333333333,TRIESTE,MAN,ENG
7,218,0.922655715263518,TRIESTE,MAN,ENG
91,218,0.6242299794661191,TRIESTE,MAN,ENG
18,218,1.429158110882957,TRIESTE,MAN,ENG
8,218,0.29842573579739906,TRIESTE,MAN,ENG
177,218,0.32854209445585214,TRIESTE,MAN,ENG
176,218,0.3258042436687201,TRIESTE,MAN,PCM
134,218,0.4654346338124572,TRIESTE,MAN,ENG
58,218,0.7392197125256673,TRIESTE,MAN,PCM
8,218,0.16427104722792607,TRIESTE,MAN,NAV
178,218,0.432580424366872,TRIESTE,MAN,NAV
179,218,0.12046543463381246,TRIESTE,MAN,ENG
180,763,0.02190280629705681,TRIESTE,MAN,ENG
27,764,1.6153319644079398,MANIAGO,MAN,ENG
181,765,1.212867898699521,UDINE,MAN,ENG
182,765,0.15331964407939766,UDINE,MAN,ENG
183,86,3.36208076659822,UDINE,MAN,ENG
10,86,3.3867214236824092,UDINE,MAN,ENG
184,86,0.19164955509924708,UDINE,MAN,ENG
18,86,0.6652977412731006,UDINE,MAN,ENG
5,86,1.8124572210814511,UDINE,MAN,ENG
185,137,0.6242299794661191,MONFALCONE,MAN,NAV
8,86,0.6269678302532512,UDINE,MAN,ENG
121,86,2.184804928131417,UDINE,MAN,ENG
58,86,2.1409993155373033,UDINE,MAN,ENG
41,137,2.0369609856262834,MONFALCONE,MAN,NAV
78,309,0.785763175906913,MONFALCONE,MAN,ENG
85,766,1.5578370978781657,PORDENONE,MAN,ENG
9,234,2.206707734428474,Coast,MAN,MAN
86,535,0.24093086926762491,Coast,MAN,PCM
186,767,0.2272416153319644,TRIESTE,MAN,ENG
85,535,1.3169062286105406,Coast,MAN,MAN
8,676,0.9965776865160848,UDINE,MAN,ENG
187,316,1.5852156057494866,Coast,MAN,MAN
18,535,1.336071184120465,Coast,MAN,PCM
188,535,0.6817248459958932,Coast,MAN,MAN
189,590,0.07939767282683094,Coast,MAN,MAN
190,316,0.7008898015058179,Coast,MAN,MAN
18,309,0.08213552361396304,MONFALCONE,MAN,ENG
30,676,3.271731690622861,UDINE,MAN,MAN
191,676,1.2566735112936345,UDINE,MAN,MAN
192,309,1.0787132101300478,MONFALCONE,MAN,ENG
49,768,0.9883641341546886,UDINE,MAN,ENG
193,195,2.5626283367556466,PORDENONE,MAN,ENG
85,180,0.2190280629705681,UDINE,MAN,ENG
85,226,3.5592060232717317,PORDENONE,MAN,UNI
194,195,2.212183436002738,PORDENONE,MAN,ENG
195,180,1.1170431211498972,UDINE,MAN,ENG
196,195,3.0417522245037647,PORDENONE,MAN,MAN
183,769,1.8781656399726216,UDINE,MAN,MAN
197,180,0.0082135523613963,UDINE,MAN,MAN
8,770,2.0643394934976045,PORDENONE,MAN,MAN
198,771,2.327173169062286,PORDENONE,MAN,MAN
91,772,1.4127310061601643,PORDENONE,MAN,MAN
199,773,0.3915126625598905,UDINE,MAN,MAN
8,40,0.840520191649555,UDINE,MAN,ENG
200,40,0.5037645448323066,UDINE,MAN,ENG
201,40,0.2929500342231348,UDINE,MAN,ENG
12,40,0.12320328542094457,UDINE,MAN,ENG
200,40,0.5037645448323066,UDINE,MAN,ENG
202,40,0.487337440109514,UDINE,MAN,ENG
116,774,0.49007529089664614,UDINE,MAN,MAN
203,40,3.0937713894592744,UDINE,MAN,MAN
204,775,0.3969883641341546,PORDENONE,MAN,MAN
205,40,0.6817248459958932,UDINE,MAN,ENG
8,40,0.24914442162902123,UDINE,MAN,ENG
206,75,0.6680355920602327,UDINE,MAN,MAN
207,242,0.5010266940451745,UDINE,MAN,ENG
208,242,0.2327173169062286,UDINE,MAN,ENG
209,776,0.11772758384668036,PORDENONE,MAN,MAN
18,91,3.9616700889801506,UDINE,MAN,ENG
41,91,1.1553730321697468,UDINE,MAN,ENG
210,18,0.14510609171800137,UDINE,MAN,ENG
18,91,2.5817932922655715,UDINE,MAN,ENG
211,777,0.8323066392881588,UDINE,MAN,MAN
91,18,3.997262149212868,UDINE,MAN,ENG
73,18,4.761122518822724,UDINE,MAN,ENG
212,18,4.090349075975359,UDINE,MAN,ENG
12,91,0.33675564681724846,UDINE,MAN,ENG
213,12,0.19164955509924708,UDINE,MAN,ENG
12,91,0.49555099247091033,UDINE,MAN,ENG
5,91,0.4654346338124572,UDINE,MAN,ENG
12,18,0.49555099247091033,UDINE,MAN,ENG
214,18,0.999315537303217,UDINE,MAN,ENG
215,91,3.5017111567419574,UDINE,MAN,ENG
71,91,3.238877481177276,UDINE,MAN,ENG
216,18,2.595482546201232,UDINE,MAN,ENG
12,91,2.9924709103353866,UDINE,MAN,ENG
217,18,0.48186173853524983,UDINE,MAN,ENG
218,18,1.749486652977413,UDINE,MAN,ENG
219,18,1.5195071868583163,UDINE,MAN,ENG
220,18,0.6078028747433265,UDINE,MAN,ENG
59,18,4.596851471594798,UDINE,MAN,ENG
148,91,2.9295003422313486,UDINE,MAN,MAN
5,18,1.4154688569472964,UDINE,MAN,ENG
